category,prompt,ground_truth,prediction,judge_score,judge_raw,f1_score,substring_accuracy
indigenous_peoples,idioma usado de Perú es,asháninca,"El idioma oficial de Perú es el español, pero también es reconocido el idioma quechua y otros idiomas indígenas.",0,"{""score"": 0}",0.0,0
indigenous_peoples,lengua materna de asháninca es,asháninca,"La lengua materna de los Asháninca es el asháninca, que es una lengua que pertenece a la familia lingüística arawakana y se habla en la región de la Selva Central en Perú.",1,"{""score"": 1}",0.06060606060606061,1
indigenous_peoples,"lenguas habladas, escritas o signadas de asháninca es",asháninca,"El asháninca es una lengua indígena hablada en Perú, específicamente en la región de la Selva Central del país. Se trata de una lengua que forma parte de la familia lingüística quechua y se habla principalmente en la provincia de Satipo, en la región de Ucayali, así como en otras áreas vecinas.

El asháninca es una lengua que se utiliza en la comunicación diaria de las comunidades ashánincas, que son pueblos indígenas que viven en la Amazonía peruana. Aunque la lengua oficial del Perú es el español, el asháninca es una lengua importante para la identidad cultural y la tradición de las comunidades ashánincas.

El asháninca se escribe utilizando el alfabeto latino y se divide en diferentes dialectos, como el asháninca de Sat",1,"{""score"": 1}",0.01612903225806452,1
indigenous_peoples,ubicación de asháninca es,Departamento de Ucayali,"Asháninca es un pueblo ubicado en el distrito de Satipo, provincia de Lauricocha, departamento de Junín, en el centro del Perú.",0,"{""score"": 0}",0.16666666666666666,0
indigenous_peoples,categoría principal del tema de asháninca es,Categoría:Pueblo ashaninka,"La categoría principal del tema de Asháninca se refiere a la cultura y el pueblo Asháninca, un grupo étnico que habita en la región de la Amazonía peruana, específicamente en la provincia de Satipo, en el departamento de Junín. El tema Asháninca abarca aspectos como:

1.  **Lengua**: La lengua Asháninca es una lengua isolada, es decir, no está emparentada con ninguna otra lengua conocida.
2.  **Cultura**: La cultura Asháninca es rica y diversa, caracterizada por su tradición oral, su conexión con la naturaleza y su cosmovisión.
3.  **Historia**: La historia del pueblo Asháninca se remonta a siglos, con una rica tradición de resistencia y supervivencia en la selva amazónica.
4.  **Rel",0,"{""score"": 0}",0.0,0
indigenous_peoples,descrito en la fuente de asháninca es,Encyclopædia Britannica (11ª edición),"No puedo encontrar información sobre ""Asháninca"". ¿Podrías proporcionar más contexto o detalles sobre de dónde proviene la palabra ""Asháninca"" o qué se refiere a? Esto me ayudaría a entender mejor tu pregunta y proporcionarte una respuesta más precisa.",0,"{""score"": 0}",0.0,0
indigenous_peoples,idioma usado de Departamento de Cusco es,asháninca,"El idioma oficial del Departamento de Cusco, que es una de las 24 regiones del Perú, es el quechua cusqueño, pero el idioma oficial del Perú es el español.",0,"{""score"": 0}",0.0,0
indigenous_peoples,idioma usado de Departamento de Ayacucho es,asháninca,El idioma oficial del Departamento de Ayacucho en Perú es el español.,0,"{""score"": 0}",0.0,0
indigenous_peoples,idioma usado de Departamento de Ucayali es,asháninca,El idioma oficial del Departamento de Ucayali en Perú es el español.,0,"{""score"": 0}",0.0,0
indigenous_peoples,idioma usado de Departamento de Junín es,asháninca,"El Departamento de Junín se encuentra ubicado en la provincia de Junín, en el centro de la República del Ecuador. El idioma oficial en ese departamento es el español, específicamente el dialecto ecuatoriano.",0,"{""score"": 0}",0.0,0
