category,prompt,ground_truth,prediction,judge_score,judge_raw,f1_score,substring_accuracy
indigenous_peoples,idioma usado de Perú es,asháninca,"El idioma oficial de Perú es el español, pero también es reconocido el idioma quechua y otros idiomas indígenas.",0,"{""score"": 0}",0.0,0
indigenous_peoples,lengua materna de asháninca es,asháninca,"La lengua materna de los Asháninca es el asháninca, que es una lengua que pertenece a la familia lingüística arawakana y se habla en la región de la Selva Central en Perú.",1,"{""score"": 1}",0.0606060606060606,1
indigenous_peoples,"lenguas habladas, escritas o signadas de asháninca es",asháninca,"El asháninca es una lengua indígena hablada en Perú, específicamente en la región de la Selva Central del país. Se trata de una lengua que forma parte de la familia lingüística quechua y se habla principalmente en la provincia de Satipo, en la región de Ucayali, así como en otras áreas vecinas.

El asháninca es una lengua que se utiliza en la comunicación diaria de las comunidades ashánincas, que son pueblos indígenas que viven en la Amazonía peruana. Aunque la lengua oficial del Perú es el español, el asháninca es una lengua importante para la identidad cultural y la tradición de las comunidades ashánincas.

El asháninca se escribe utilizando el alfabeto latino y se divide en diferentes dialectos, como el asháninca de Sat",1,"{""score"": 1}",0.0161290322580645,1
indigenous_peoples,ubicación de asháninca es,Departamento de Ucayali,"Asháninca es un pueblo ubicado en el distrito de Satipo, provincia de Lauricocha, departamento de Junín, en el centro del Perú.",0,"{""score"": 0}",0.1666666666666666,0
indigenous_peoples,categoría principal del tema de asháninca es,Categoría:Pueblo ashaninka,"La categoría principal del tema de Asháninca se refiere a la cultura y el pueblo Asháninca, un grupo étnico que habita en la región de la Amazonía peruana, específicamente en la provincia de Satipo, en el departamento de Junín. El tema Asháninca abarca aspectos como:

1.  **Lengua**: La lengua Asháninca es una lengua isolada, es decir, no está emparentada con ninguna otra lengua conocida.
2.  **Cultura**: La cultura Asháninca es rica y diversa, caracterizada por su tradición oral, su conexión con la naturaleza y su cosmovisión.
3.  **Historia**: La historia del pueblo Asháninca se remonta a siglos, con una rica tradición de resistencia y supervivencia en la selva amazónica.
4.  **Rel",0,"{""score"": 0}",0.0,0
indigenous_peoples,descrito en la fuente de asháninca es,Encyclopædia Britannica (11ª edición),"No puedo encontrar información sobre ""Asháninca"". ¿Podrías proporcionar más contexto o detalles sobre de dónde proviene la palabra ""Asháninca"" o qué se refiere a? Esto me ayudaría a entender mejor tu pregunta y proporcionarte una respuesta más precisa.",0,"{""score"": 0}",0.0,0
indigenous_peoples,idioma usado de Departamento de Cusco es,asháninca,"El idioma oficial del Departamento de Cusco, que es una de las 24 regiones del Perú, es el quechua cusqueño, pero el idioma oficial del Perú es el español.",0,"{""score"": 0}",0.0,0
indigenous_peoples,idioma usado de Departamento de Ayacucho es,asháninca,El idioma oficial del Departamento de Ayacucho en Perú es el español.,0,"{""score"": 0}",0.0,0
indigenous_peoples,idioma usado de Departamento de Ucayali es,asháninca,El idioma oficial del Departamento de Ucayali en Perú es el español.,0,"{""score"": 0}",0.0,0
indigenous_peoples,idioma usado de Departamento de Junín es,asháninca,"El Departamento de Junín se encuentra ubicado en la provincia de Junín, en el centro de la República del Ecuador. El idioma oficial en ese departamento es el español, específicamente el dialecto ecuatoriano.",0,"{""score"": 0}",0.0,0
indigenous_peoples,idioma usado de Departamento de Apurímac es,asháninca,"El idioma oficial del Departamento de Apurímac en Perú es el quechua, específicamente el quechua del sur, aunque también se habla el español.",0,"{""score"": 0}",0.0,0
indigenous_peoples,idioma de la película o programa de televisión de Entre Dos Aguas es,asháninca,"La película o programa de televisión ""Entre Dos Aguas"" es en español.",0,"{""score"": 0}",0.0,0
indigenous_peoples,"idioma de la película o programa de televisión de Reshinn, sangre de anaconda es",asháninca,"Lo siento, no tengo información sobre una película o programa de televisión llamado ""Reshinn, sangre de anaconda"". Es posible que sea un título en un idioma diferente o una producción poco conocida. Si puedes proporcionarme más contexto o detalles, puedo intentar ayudarte mejor.

Sin embargo, hay una película de 2007 llamada ""Anaconda 4: The Hunt for the Blood Orchid"" (también conocida como ""Anaconda 4: La cacería de la orquídea sangrienta"") que es la cuarta entrega de la serie de películas de terror ""Anaconda"". Esta película es una secuela de la película original de 1997 ""Anaconda"", que se basa en un libro de James G. Patterson.

Si crees que esta es la película que estabas buscando, el idioma original de esta película es inglés.",0,"{""score"": 0}",0.0,0
indigenous_peoples,nativo de de asháninca es,asháninca,"El idioma nativo de los Asháninca es el idioma asháninca. El idioma asháninca es una lengua que pertenece a la familia lingüística quechua, que se habla en Perú. Es hablado principalmente en la región de la Amazonía peruana, específicamente en la provincia de Satipo, en la región de Ucayali, y en la provincia de Satipo, en la región de Junín.

El idioma asháninca es una de las lenguas quechua más septentrionales y occidentales, y es hablado por aproximadamente 2.500 personas en la zona de la Amazonía peruana. Aunque es una lengua en peligro de extinción, se ha estado trabajando en su documentación y preservación.

El idioma asháninca tiene una rica tradición oral y es utilizado en",0,"{""score"": 0}",0.017094017094017,1
indigenous_peoples,estado del idioma en Ethnologue de asháninca es,5 en desarrollo,"De acuerdo con la base de datos Ethnologue, Asháninca es una lengua indígena hablada en Perú. A continuación, te proporciono información sobre el estado del idioma Asháninca según Ethnologue:

- **Código**: ash
- **Nombre**: Asháninca
- **Familia lingüística**: Arawakan
- **País(es)**: Perú
- **Región**: Amazonas, Ucayali
- **Habla nativa**: 10,000 (2007)
- **Estatus**: En peligro
- **Clasificación**: Lengua indígena
- **Escritura**: Alfabeto latino

Es importante destacar que el número de hablantes puede haber cambiado desde la última actualización de la base de datos, y es posible que existan variaciones en la clasificación o el estatus del idioma",0,"{""score"": 0}",0.0219780219780219,0
indigenous_peoples,diferente de de ashéninka es,asháninca,"El pueblo Ashéninka es un grupo étnico que habita en la selva peruana y brasileña. A continuación, te presento algunas características y diferencias interesantes sobre el pueblo Ashéninka:

1. **Ubicación**: El pueblo Ashéninka se encuentra en la selva peruana y brasileña, principalmente en la región de Manú en Perú y en el estado de Acre en Brasil.
2. **Idioma**: El idioma Ashéninka es una lengua aislada que pertenece a la familia lingüística Pano-Tacana. Es hablado por aproximadamente 6.000 personas en Perú y 1.000 en Brasil.
3. **Cultura**: La cultura Ashéninka es una sociedad tradicional que se basa en la caza, la pesca y la agricultura. Son expertos en la caza de animales como el mono, el venado",0,"{""score"": 0}",0.0,0
indigenous_peoples,idioma de la película o programa de televisión de El corazón del lobo es,asháninca,La respuesta es: Inglés,0,"{""score"": 0}",0.0,0
indigenous_peoples,categoría principal del tema de mapuche es,Categoría:Idioma mapuche,"La categoría principal del tema de Mapuche se refiere a la cultura, historia y pueblo indígena originario de Chile y Argentina. El pueblo Mapuche tiene una rica identidad y tradición que se remonta a siglos, y se caracteriza por su lengua, costumbres, creencias y formas de vida. Algunas de las categorías más importantes dentro del tema Mapuche son:

1. **Cultura Mapuche**: La cultura Mapuche es una de las más ricas y diversas de América Latina. Se caracteriza por su arte, música, danza, literatura y tradiciones.
2. **Historia Mapuche**: La historia del pueblo Mapuche se remonta a la época prehispánica, cuando habitaban en la región de Chile y Argentina. La conquista española y la colonización europea tuvieron un impacto significativo en la cultura y la identidad Mapuche.
3",0,"{""score"": 0}",0.0155038759689922,0
indigenous_peoples,categoría para las películas en este idioma de mapuche es,Categoría:Películas en mapuche,"La categoría para las películas en el idioma mapuche se conoce como ""Kola"".",0,"{""score"": 0}",0.25,0
indigenous_peoples,categoría principal del tema de mapuche es,Categoría:Pueblo mapuche,"La categoría principal del tema Mapuche se refiere a la cultura, historia y pueblo indígena originario de Chile y Argentina.",0,"{""score"": 0}",0.0909090909090909,0
indigenous_peoples,descrito en la fuente de mapuche es,Enciclopedia Lexicon,"No tengo información de una fuente llamada ""Mapuche es"". ¿Podrías proporcionar más contexto o detalles sobre a qué te refieres? ¿Es un sitio web, un libro, un proyecto o algo más? De esta manera puedo ayudarte mejor.",0,"{""score"": 0}",0.0,0
indigenous_peoples,descrito en la fuente de mapuche es,Diccionario Enciclopédico Brockhaus y Efron,"No tengo información sobre una ""fuente de mapuche"" específica. Sin embargo, puedo proporcionarte información general sobre la cultura mapuche y su lengua.

La lengua mapuche, también conocida como mapudungun o mapudungu, es una lengua aislada que se habla en Chile y Argentina. Es hablada por la etnia mapuche, que es una de las poblaciones indígenas más importantes de la región.

La lengua mapuche tiene una rica historia y tradición, y es considerada una de las lenguas más importantes de la región. A continuación, te presento algunos datos interesantes sobre la lengua mapuche:

**Características**

* La lengua mapuche es una lengua aislada, lo que significa que no está emparentada con ninguna otra lengua conocida.
* Se habla en la región de la Araucanía en Chile y",0,"{""score"": 0}",0.015625,0
