category,prompt,ground_truth,prediction,judge_score,judge_raw,f1_score,substring_accuracy
movies,emisora original de Amelia es,Televisión Nacional de Chile,La emisora original de Amelia Earhart fue la NBC (National Broadcasting Company) en Estados Unidos.,0,"{""score"": 0}",0.10526315789473685,0
movies,situado en la entidad territorial administrativa de Olga es,Región de Coquimbo,"No tengo información sobre una entidad territorial administrativa llamada ""Olga"". ¿Podrías proporcionar más contexto o detalles sobre a qué te refieres con ""Olga""? ¿Es un municipio, un estado, un país o algo más? De esta manera puedo ayudarte mejor.",0,"{""score"": 0}",0.047619047619047616,0
movies,situado en la entidad territorial administrativa de Gabriela es,Región de Atacama,"No tengo información sobre una entidad territorial administrativa llamada ""Gabriela"". ¿Podrías proporcionar más contexto o detalles sobre Gabriela, como país, región o municipio? De esta manera, podré ayudarte mejor.",0,"{""score"": 0}",0.125,0
movies,licencia de 360 es,Creative Commons Atribución/Reconocimiento-NoComercial,"La licencia de Microsoft Office 365 es una suscripción mensual o anual que ofrece acceso a una variedad de herramientas de productividad de Microsoft, incluyendo Word, Excel, PowerPoint, Outlook, OneNote y otros. A continuación, te presento algunos de los beneficios y características de la licencia de Microsoft Office 365:

**Beneficios:**

1. **Acceso en línea**: Puedes acceder a tus aplicaciones favoritas desde cualquier lugar y en cualquier dispositivo con conexión a Internet.
2. **Actualizaciones automáticas**: Recibirás actualizaciones automáticas de las aplicaciones para asegurarte de que siempre tengas la versión más reciente.
3. **Colaboración en línea**: Puedes trabajar en documentos y presentaciones con otros usuarios en tiempo real.
4. **Almacenamiento en la nube**: Recibirás 1 TB de almacenamiento en OneDrive para guardar y compartir tus archivos",0,"{""score"": 0}",0.0,0
movies,situado en la entidad territorial administrativa de Ciudad de Dios es,Distrito de Guadalupe,"No tengo información sobre una entidad territorial administrativa llamada ""Ciudad de Dios"". Sin embargo, hay un barrio en Río de Janeiro, Brasil, llamado Ciudad de Dios (en portugués, ""Cidade de Deus""), que es un asentamiento de favela conocido por su compleja situación social y criminal. ¿Es posible que estés refiriéndote a este lugar?",0,"{""score"": 0}",0.03571428571428571,0
landmarks,próximo cruce río arriba de Puente Salto Grande es,puente Internacional Agustín P. Justo - Getúlio Vargas,"No tengo información específica sobre el próximo cruce río arriba del Puente Salto Grande. Sin embargo, puedo sugerirte algunas opciones para encontrar la información que buscas:

1. **Google Maps**: Puedes utilizar Google Maps para buscar el cruce río arriba del Puente Salto Grande. Simplemente ingresa el nombre del puente y la dirección en la barra de búsqueda, y el mapa te mostrará la ubicación y la información sobre los cruce río arriba.
2. **Sitios web de navegación fluvial**: Puedes buscar sitios web de navegación fluvial o agencias de aguas que proporcionen información sobre los cruce río arriba del Puente Salto Grande. Estos sitios pueden ofrecer información sobre las características del río, los niveles de agua, la velocidad del flujo y otros datos importantes para planificar tu viaje.
3. **Foros y",0,"{""score"": 0}",0.014598540145985403,0
landmarks,categoría en Commons de puente Internacional Agustín P. Justo - Getúlio Vargas es,Ponte Internacional Uruguaiana-Paso de los Libres,"La categoría en Commons de Wikipedia para el puente Internacional Agustín P. Justo - Getúlio Vargas es:

""Category:Puente Internacional Agustín P. Justo - Getúlio Vargas""",0,"{""score"": 0}",0.13793103448275862,0
landmarks,imagen de puente Internacional Agustín P. Justo - Getúlio Vargas es,Puente Getulio Vargas-Agustín P. Justo 2.jpg,"El puente Internacional Agustín P. Justo - Getúlio Vargas es un puente internacional que conecta la ciudad de Posadas, en la provincia de Misiones, Argentina, con la ciudad de Chuí, en el estado de Rio Grande do Sul, Brasil.",0,"{""score"": 0}",0.13636363636363635,0
landmarks,atraviesa de puente Internacional Agustín P. Justo - Getúlio Vargas es,Río Uruguay,"La atravesada de puente Internacional Agustín P. Justo - Getúlio Vargas se refiere a la conexión internacional entre Argentina y Uruguay. El puente se encuentra sobre el Río de la Plata y une la ciudad argentina de Buenos Aires con la ciudad uruguaya de Colonia del Sacramento.

El puente lleva el nombre de dos presidentes importantes de sus países respectivos: Agustín P. Justo, quien fue presidente de Argentina desde 1932 a 1938, y Getúlio Vargas, quien fue presidente de Brasil desde 1930 a 1945 y luego desde 1951 a 1954.

El puente fue inaugurado en 1976 y es uno de los puentes más largos del mundo sobre un río. Tiene una longitud de 11.905 metros y es un importante paso para el tráfico de vehículos y pasajeros entre Argentina y Uruguay.

La conexión entre Buenos",0,"{""score"": 0}",0.029411764705882353,0
landmarks,próximo cruce río arriba de puente Internacional Agustín P. Justo - Getúlio Vargas es,Puente de la Integración,"No tengo información sobre el cruce río arriba del puente Internacional Agustín P. Justo - Getúlio Vargas, ya que no tengo información sobre un puente con ese nombre. Sin embargo, sí conozco sobre el puente Internacional Agustín P. Justo - Getúlio Vargas, que es un puente internacional que cruza el río Uruguay y conecta a las ciudades de Fray Bentos, Uruguay, y Gualeguaychú, Argentina.

Si estás buscando información sobre un cruce río arriba de este puente, te puedo sugerir algunas opciones:

1.  El río Uruguay es un río relativamente corto, y en su curso superior, hay varias localidades y puentes que podrían ser relevantes. Sin embargo, no tengo información sobre un cruce río arriba específico del puente Internacional Agustín P. Justo - Getúlio V",0,"{""score"": 0}",0.03200000000000001,0
