category,prompt,ground_truth,prediction,judge_score,judge_raw,f1_score,substring_accuracy
painters,creador de Monumento a Miguel Hidalgo y Costilla es,Francisco Zúñiga,El creador del Monumento a Miguel Hidalgo y Costilla es el escultor mexicano Ernesto Tamariz.,0,"{""score"": 0}",0.0,0
painters,creador de Torso Masculino es,Fernando Botero,"El torso masculino es un tema común en la anatomía y la escultura. Aquí te presento algunos pasos generales para crear un torso masculino en diferentes medios artísticos:

**Dibujo y pintura**

1. **Estudio de referencias**: Busca imágenes de torsos masculinos para estudiar su forma y proporciones.
2. **Dibuja la silueta**: Dibuja una silueta del torso masculino con un contorno básico, incluyendo la cabeza, el cuello, los hombros, la cintura, la pelvis y la cadera.
3. **Añade músculos**: Agrega músculos a la silueta, comenzando por los hombros y el pecho, luego el abdomen y finalmente la cintura y las caderas.
4. **Detalles**: Añade detalles como la textura de la",0,"{""score"": 0}",0.0,0
painters,creador de Virgen alada del Apocalípsis es,Manuel Antonio Caro,"El artista que creó la escultura ""Virgen alada del Apocalípsis"" es Constantin Brâncuși.",0,"{""score"": 0}",0.0,0
painters,creador de La zamacueca es,Arturo Gordon Vargas,"La zamacueca es un género musical y danza tradicional de la región andina de Sudamérica, especialmente en Perú y Bolivia. El creador de la zamacueca es considerado Juan de Dios del Corral, un compositor y violinista peruano del siglo XVIII.",0,"{""score"": 0}",0.0,0
movies,basado en de Diarios de motocicleta es,Diarios de motocicleta,"""Diarios de motocicleta"" es una película de 2004 dirigida por Walter Salles, basada en el libro homónimo de Che Guevara. La película sigue la historia de Che Guevara y su amigo Alberto Granado durante su viaje en motocicleta por América del Sur en 1952.

La película se centra en la amistad entre Che Guevara y Alberto Granado, dos jóvenes médicos argentinos que deciden unirse a un viaje en motocicleta desde Buenos Aires a Valparaíso, Chile, con la intención de llegar a la isla de La Higuera en el río Magdalena, en Perú. Durante su viaje, se encuentran con diversas personas y experiencias que les permiten reflexionar sobre la pobreza, la injusticia y la política en América Latina.

La película es una crítica a la sociedad capitalista y",1,"{""score"": 1}",0.046153846153846156,1
movies,guionista de Diarios de motocicleta es,Che Guevara,"El guionista de ""Diarios de motocicleta"" es Walter Salles.",0,"{""score"": 0}",0.0,0
movies,título de Diarios de motocicleta es,Diarios de motocicleta,"El título de la película ""Diarios de motocicleta"" es ""Diarios de motocicleta"" (también conocida como ""The Motorcycle Diaries"" en inglés).",1,"{""score"": 1}",0.2608695652173913,1
movies,ubicación narrativa de Diarios de motocicleta es,Buenos Aires,"""Diarios de motocicleta"" es una película de drama y aventuras de 2004 dirigida por Walter Salles, basada en el libro homónimo de Che Guevara. La película sigue la travesía de Ernesto ""Che"" Guevara (interpretado por Gael García Bernal) y su amigo Alberto Granado (interpretado por Rodrigo de la Serna) en una motocicleta a través de América del Sur en 1952.

La travesía comienza en Buenos Aires, Argentina, y los dos amigos viajan a través de varios países, incluyendo Chile, Perú, Bolivia y Colombia. Durante su viaje, conocen a personas de diferentes clases sociales y políticas, lo que les hace reflexionar sobre la realidad social y política de la región.

La película se desarrolla en varios lugares emblemáticos de América del Sur, incluyendo:

- Argentina: La película comienza en",0,"{""score"": 0}",0.031007751937984496,1
movies,nominado a de Diarios de motocicleta es,Óscar al mejor guion adaptado,"No tengo información sobre qué es lo que estás buscando. ¿Podrías proporcionar más contexto o detalles sobre ""Diarios de motocicleta""?",0,"{""score"": 0}",0.0,0
movies,nominado a de Diarios de motocicleta es,Premio del Cine Europeo a la mejor película no europea,"No tengo información de que alguien haya sido nominado a los Diarios de motocicleta. Sin embargo, puedo sugerirte algunas posibles opciones:

*   Diarios de motocicleta de Alejandro Fadel: Alejandro Fadel es un escritor argentino que ha publicado varios libros de relatos y ensayos, y es posible que haya sido nominado a los Diarios de motocicleta, un premio literario argentino que reconoce la mejor obra de no ficción.
*   Diarios de motocicleta de Ernesto Guevara: ""Diarios de motocicleta"" es el título de un libro escrito por Ernesto Guevara, un revolucionario argentino que se convirtió en un líder de la Revolución cubana. El libro es una crónica de su viaje en moto por América Latina en la década de 1950, antes de unirse a la revolución cubana",0,"{""score"": 0}",0.07518796992481203,0
movies,calificación Medierådet de Diarios de motocicleta es,apto para una audiencia general,"No tengo información específica sobre la calificación del Medierådet de Diarios de motocicleta. Sin embargo, puedo decirte que el Medierådet (también conocido como el ""Consejo de Medios"" en sueco) es una institución sueca que se encarga de evaluar y calificar la calidad de los medios de comunicación en Suecia.

Si estás buscando la calificación de una revista específica de motocicletas en Suecia, es posible que debas buscar en fuentes específicas como la propia revista o en sitios web de noticias y medios de comunicación suecos. Sin embargo, puedo sugerirte algunas opciones de revistas de motocicletas populares en Suecia:

*   Motor Revue: Una revista sueca de motocicletas que cubre noticias, pruebas y análisis de motocicletas.
*   Motorpress:",0,"{""score"": 0}",0.01680672268907563,0
movies,clasificación CNC (Francia) de Diarios de motocicleta es,todos los públicos,"La clasificación de los diarios de motocicleta en Francia se basa en la categoría y el tipo de competición. A continuación, te presento una clasificación general de los diarios de motocicleta en Francia:

1. **MotoGP**: Es la categoría de motocicletas de gran cilindrada, que es la más alta en la jerarquía de la FIM (Federación Internacional de Motociclismo). Los diarios de motocicleta franceses suelen cubrir esta categoría con gran intensidad, ya que es la más popular y competitiva.
2. **Moto2 y Moto3**: Estas categorías son las siguientes en la jerarquía de la FIM, justo por debajo de la MotoGP. También son muy populares en Francia y reciben mucha atención de los diarios de motocicleta.
3. **M",0,"{""score"": 0}",0.01680672268907563,0
movies,Movie Review Query Engine ID de Diarios de motocicleta es,diarios-de-motocicleta-m100016650,"Diarios de motocicleta es una película argentina de drama dirigida por Walter Salles, estrenada en 2004. A continuación, te presento una posible reseña de la película:

**Título:** Diarios de motocicleta
**Director:** Walter Salles
**Año:** 2004
**Género:** Drama
**País:** Argentina, Francia, España
**Duración:** 124 minutos

**Sinopsis:**

La película sigue la historia de Che Guevara (interpretado por Gael García Bernal) y Alberto Granado (interpretado por Rodrigo de la Serna), dos amigos que se embarcan en una aventura en motocicleta a través de América del Sur en la década de 1950. Su objetivo es llegar a La Habana, Cuba, y conocer a Fidel Castro, con el fin de unirse a la revolución cubana.

**Anál",0,"{""score"": 0}",0.0,0
movies,distribución de Diarios de motocicleta es,vídeo bajo demanda,"La distribución de Diarios de Motocicleta (DM) es un tema interesante. A continuación, te proporciono una visión general de cómo se distribuye este periódico en diferentes partes del mundo:

**Argentina**

* En Argentina, Diarios de Motocicleta se distribuye en todo el país, tanto en formato impreso como digital.
* Está disponible en kioscos y tiendas de noticias en las principales ciudades, como Buenos Aires, Córdoba, Mendoza, Rosario, entre otras.
* También se puede adquirir en línea a través de la página web oficial del periódico.

**Chile**

* En Chile, Diarios de Motocicleta se distribuye en todo el país, aunque con una mayor presencia en las regiones metropolitanas.
* Está disponible en kioscos y tiendas de noticias en Santiago, Valparaíso, Concepción, Valdivia, entre otras.",0,"{""score"": 0}",0.0,0
movies,miembro del reparto de Diarios de motocicleta es,Gael García Bernal,"No puedo identificar el reparto de ""Diarios de motocicleta"" sin más información.",0,"{""score"": 0}",0.0,0
movies,miembro del reparto de Diarios de motocicleta es,Rodrigo de la Serna,"El reparto de Diarios de motocicleta incluye a varios actores, pero algunos de los más destacados son:

* Ewan McGregor
* Charley Boorman",0,"{""score"": 0}",0.08,0
movies,miembro del reparto de Diarios de motocicleta es,Mía Maestro,"No puedo encontrar información específica sobre un reparto de ""Diarios de motocicleta"". ¿Podrías proporcionar más contexto o detalles sobre qué tipo de película o serie es ""Diarios de motocicleta""?",0,"{""score"": 0}",0.0,0
