prompt,ground_truth,prediction,region,f1_score,substring_accuracy,judge_score
Elemento asociado de identificador de bien histórico de Argentina es,Sepulcro Histórico Nacional,el que se define en el artículo 15 de la Ley 2,latam,0.0,0,0.0
Elemento asociado de identificador de bien histórico de Argentina es,"bien de interés histórico, artístico, y/o arquitectonico en Argentina",el que se utiliza para identificar un bien histórico. El identificador es,latam,0.1904761904761905,0,0.0
Elemento asociado de identificador de bien histórico de Argentina es,Lugar o Sitio Histórico Nacional,el 9770800000000,latam,0.0,0,0.0
Categoría de una propiedad de Wikidata de identificador de bien histórico de Argentina es,Categoría:Páginas usando la propiedad P4587 de Wikidata,un tipo de propiedad que se usa para identificar bienes históricos,latam,0.2222222222222222,0,0.0
Emitido por de identificador de bien histórico de Argentina es,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos",un registro de bienes históricos y culturales del país.,latam,0.4210526315789474,0,0.0
Restricción de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,restricción de formato,1.1.1.1.1.1.1.,latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,restricción de valor singular,"un concepto que no existe. ¿Cómo puedo resolver esto?

La restr",latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,restricción de valor único,"la siguiente:
https://www.wikidata.org/wiki/Q1017",latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,restricción de tipo de entidad permitido,"la siguiente: ""El identificador de una votación de diputado",latam,0.26666666666666666,0,0.0
Restricción de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,campo de aplicación,"una propiedad de tipo string, y se usa para identificar las votaciones",latam,0.13333333333333333,0,0.0
Ejemplo de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,Néstor Pitrola,":

En Wikidata, cada entidad tiene una serie de propiedades que descri",latam,0.0,0,0.0
Elemento asociado de identificador de votaciones de diputado de Argentina es,diputado de Argentina,"el elemento `votacion` dentro de `diputado`,",latam,0.4444444444444444,0,0.0
Propiedad relacionada de identificador de votaciones de diputado de Argentina es,identificador HCDN,la propiedad de los votos. El diputado de Argentina es un,latam,0.0,0,0.0
Propiedad relacionada de identificador de votaciones de diputado de Argentina es,identificador de biografía de diputado de Argentina,el de la Cámara de Diputados de Argentina. ¿Cómo se,latam,0.47058823529411764,0,0.0
Categoría de una propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,Categoría:Páginas usando la propiedad P4693 de Wikidata,": 
P1171: identificador de votaciones de dip",latam,0.15384615384615383,0,0.0
Emitido por de identificador de votaciones de diputado de Argentina es,Cámara de Diputados de la Nación Argentina,"un proceso muy importante y complejo, ya que implica la selección",latam,0.1111111111111111,0,0.0
Ejemplo de propiedad de Wikidata de identificador de biografía de diputado de Argentina es,Pablo López,"Q105934176.
Ejemplo de",latam,0.0,0,0.0
