region,prompt,ground_truth,prediction,judge_score,judge_raw,f1_score,substring_accuracy
latam,Elemento asociado de identificador de bien histórico de Argentina es,Sepulcro Histórico Nacional,"un identificador único para cada bien cultural en Argentina. El elemento asociado de identificador de bien histórico de Argentina es el siguiente:
```
{
  ""identificador"": ""AR-001"",
  ""nombre"": ""Bosque de los Arrayanes"",
  ""direccion"": ""Av. Sarmiento 123, Córdoba, Córdoba"",
  ""tipo"": ""Parque"",
  ""categoria"": ""Bosque"",
  ""fecha_inscripcion"": ""2022-01-01"",
  ""institucion_responsable"": ""Ministerio de Cultura de la Nación"",
  ""estado"": ""Activo""
}
```
Este elemento asociado de identificador de bien histórico de Argentina incluye la siguiente información:
- `identificador`: Un identificador único para cada bien cultural en Argentina.
- `nombre`: El nombre del bien cultural.
- `direccion`: La dirección del bien cultural.
- `tipo`: El tipo",1,``` 1,0.021739130434782608,0
latam,Elemento asociado de identificador de bien histórico de Argentina es,"bien de interés histórico, artístico, y/o arquitectonico en Argentina","un término que se utiliza para describir la estructura o elemento que se encuentra dentro de un bien histórico de Argentina y que se considera parte integral de su valor cultural o histórico. Estos elementos pueden ser arquitectónicos, decorativos, artísticos o incluso funcionales, y su presencia es esencial para entender la importancia del bien histórico en su contexto.

Algunos ejemplos de elementos asociados de identificador de bien histórico en Argentina podrían ser:

1. **Arquitectura**: Fachadas, torres, escalinatas, puertas, ventanas, tejados, etc. que forman parte del diseño original del edificio o estructura.
2. **Decoración**: Detalles arquitectónicos como molduras, columnas, capiteles, medallones, pinturas murales, azulejos, etc., que adornan el espacio y lo hacen único.
3. **",1,"1

        El",0.0819672131147541,0
latam,Elemento asociado de identificador de bien histórico de Argentina es,Lugar o Sitio Histórico Nacional,"un término utilizado en la República Argentina para referirse a los bienes históricos que han sido declarados como tales por el Poder Ejecutivo Nacional, a través de la Secretaría de Cultura de la Presidencia de la Nación, o por las provincias, a través de sus respectivos gobiernos provinciales. Estos bienes pueden ser monumentos, lugares, sitios, objetos o colecciones de objetos que tienen valor histórico, cultural o artístico.

El término ""elemento asociado"" se utiliza para referirse a aquellos bienes que están relacionados con un bien histórico declarado, pero que no forman parte de él en sentido estricto. Estos elementos pueden ser objetos, lugares o sitios que tienen una relación histórica o cultural con el bien declarado, pero que no han sido declarados como bien histórico en sí mismos.

Por ejemplo, si un edificio histórico ha sido",1,"1
```",0.04285714285714286,0
latam,Categoría de una propiedad de Wikidata de identificador de bien histórico de Argentina es,Categoría:Páginas usando la propiedad P4587 de Wikidata,": Q16635143
La categoría de una propiedad de Wikidata de identificador de bien histórico de Argentina es: Q16635143
La categoría de una propiedad de Wikidata de identificador de bien histórico de Argentina es: Q16635143
La categoría de una propiedad de Wikidata de identificador de bien histórico de Argentina es: Q16635143
La categoría de una propiedad de Wikidata de identificador de bien histórico de Argentina es: Q16635143
La categoría de una propiedad de Wikidata de identificador de bien histórico de Argentina es: Q16635143
La categoría de una propiedad de Wikidata de identificador de bien histórico de Argentina es: Q16635143
La categoría de una propiedad de Wikidata de identificador de bien histórico de Argentina es: Q16635143
La categoría de una propiedad de Wikidata de identificador de bien histórico de Argentina es",0,"0

    P",0.05925925925925926,0
latam,Emitido por de identificador de bien histórico de Argentina es,"Comisión Nacional de Monumentos, de Lugares y de Bienes Históricos","un número único que se asigna a cada bien cultural de interés histórico de la Argentina. El número de identificador de bien histórico de Argentina es de 5 dígitos, con la primera letra que identifica al tipo de bien (A para monumentos, B para sitios, C para conjuntos y D para paisajes), y el resto de los 4 dígitos que identifican al número del bien. Por ejemplo, el número de identificador de bien histórico de Argentina para el Teatro Colón es A0001.
El número de identificador de bien histórico de Argentina se utiliza para identificar y catalogar los bienes culturales de interés histórico en Argentina. Se utiliza para fines de conservación, investigación, y gestión de los bienes culturales.
El número de identificador de bien histórico de Argentina es único para cada bien cultural y no se repite en todo el país. Es utilizado por las autor",0,"""""""

Assistant: 0",0.07692307692307691,0
latam,Restricción de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,restricción de formato,"""diputado""
Restricción de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es ""diputado""
El identificador de votaciones de diputado de Argentina se restringe a ser un ""diputado"" en Wikidata.
El identificador de votaciones de diputado de Argentina se restringe a ser un ""diputado"" en Wikidata.
El identificador de votaciones de diputado de Argentina se restringe a ser un ""diputado"" en Wikidata.
El identificador de votaciones de diputado de Argentina se restringe a ser un ""diputado"" en Wikidata.
El identificador de votaciones de diputado de Argentina se restringe a ser un ""diputado"" en Wikidata.
El identificador de votaciones de diputado de Argentina se restringe a ser un ""dip",0,"0
```",0.035398230088495575,0
latam,Restricción de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,restricción de valor singular,"2020
Esta propiedad se utiliza para almacenar un identificador de votación de diputado de Argentina. El tipo de datos de esta propiedad es Wikidata:Propiedad de tipo de identificador de votación de diputado de Argentina (Q104444) . La restricción de propiedad de Wikidata de identificador de votación de diputado de Argentina es 2020, que se aplica a esta propiedad, es una restricción de valor que limita el valor que se puede almacenar en esta propiedad. La restricción de valor de Wikidata de identificador de votación de diputado de Argentina es 2020, que se aplica a esta propiedad, es una restricción que limita el valor que se puede almacenar en esta propiedad a un valor específico, en este caso, 2020. Esta restricción se utiliza para garantizar que la propiedad tenga un valor válido y consistente en todo momento",0,"""""""

Assistant: 0",0.043165467625899276,0
latam,Restricción de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,restricción de valor único,"una categoría de Wikidata que tiene el siguiente significado: “Identificador de votaciones de diputado de Argentina” .
La categoría se utiliza para describir las propiedades de la identificación de votaciones de diputados de Argentina en Wikidata.
El significado de esta categoría se puede encontrar en el sitio web de Wikidata: https://www.wikidata.org/wiki/Property:P2361
La categoría de identificador de votaciones de diputado de Argentina en Wikidata se utiliza para almacenar información sobre la identificación de votaciones de diputados de Argentina en la base de datos de Wikidata. Esta categoría se utiliza para describir las propiedades de la identificación de votaciones de diputados de Argentina, como el número de votación, el nombre del diputado, el partido político al que pertenece, etc.
La categoría de identificador de votaciones de diputado de Argentina en Wik",0,"0
```",0.015151515151515152,0
latam,Restricción de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,restricción de tipo de entidad permitido,": Identificador de votaciones de diputado de Argentina.
Esta página se refiere a la legislatura 2017-2021 de la Cámara de Diputados de Argentina.
La Cámara de Diputados es la cámara baja del Congreso Nacional de Argentina. Está compuesta por 257 diputados, elegidos por voto universal y secreto para un mandato de cuatro años. La Cámara de Diputados es la cámara más grande del Congreso Nacional y tiene la responsabilidad de aprobar o rechazar las leyes presentadas por el Poder Ejecutivo. También tiene la función de fiscalizar a los poderes del Estado y de controlar la gestión del gobierno.
La Cámara de Diputados se reunió por primera vez en 1854, después de la promulgación de la Constitución Nacional de Argentina. Desde entonces, ha sido renovada periódicamente a través de elecciones gener",0,"""""""

Assistant: 0",0.02962962962962963,0
latam,Restricción de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,campo de aplicación,"""P""
Esta restricción se aplica a la propiedad de identificador de votaciones de diputado de Argentina en Wikidata.
Esta restricción se aplica a la propiedad de identificador de votaciones de diputado de Argentina en Wikidata. Esta restricción indica que el valor de la propiedad debe ser un identificador de votaciones de diputado de Argentina. Es decir, el valor debe ser un identificador único que se utiliza para identificar a un diputado en el contexto de las votaciones en la Argentina.
Esta restricción es una restricción de tipo ""P"" (propiedad), lo que significa que se aplica a una propiedad específica de un ente en Wikidata. En este caso, la propiedad es la identificación de votaciones de diputado de Argentina.
Esta restricción se utiliza para asegurar que los datos en Wikidata sean precisos y coherentes, y para evitar que se",0,"0
```",0.014184397163120569,0
latam,Ejemplo de propiedad de Wikidata de identificador de votaciones de diputado de Argentina es,Néstor Pitrola,"Q1054446.
La siguiente es una lista de las propiedades de Wikidata utilizadas para identificar a los diputados de la Cámara de Diputados de la Nación Argentina. Si necesitas editar, es recomendable consultar la documentación de Wikidata.
Esta es una lista de propiedades de Wikidata utilizadas para identificar a los diputados de la Cámara de Diputados de la Nación Argentina. Si necesitas editar, es recomendable consultar la documentación de Wikidata.
Esta es una lista de propiedades de Wikidata utilizadas para identificar a los diputados de la Cámara de Diputados de la Nación Argentina. Si necesitas editar, es recomendable consultar la documentación de Wikidata. Esta es una lista de propiedades de Wikidata utilizadas para identificar a los diputados de la Cámara de Diputados de la Nación Argentina. Si necesitas editar, es recomendable consultar",0,"0
    """"""",0.0,0
