prompt,ground_truth,prediction,region,f1_score,substring_accuracy,judge_score
Elemento operado de Colectivos de Buenos Aires es,línea Universitaria de San Martín,el espacio de trabajo en el cual se desarrollan los talleres de form,latam,0.1111111111111111,0,0.0
Elemento operado de Colectivos de Buenos Aires es,línea 670,un proyecto que busca la creación de una red de colectivos de,latam,0.0,0,0.0
Elemento operado de Colectivos de Buenos Aires es,línea 710,el primero en el mundo en usar esta tecnología de vanguardia. La,latam,0.0,0,0.0
Elemento operado de Colectivos de Buenos Aires es,línea 720,"una organización de colectivos en Buenos Aires, Argentina. El colect",latam,0.0,0,0.0
Elemento operado de Colectivos de Buenos Aires es,línea 721 (Buenos Aires),una marca de colectivos que se encuentra en la ciudad de Buenos Aires,latam,0.23529411764705882,0,0.0
Elemento operado de Colectivos de Buenos Aires es,línea 723 (Buenos Aires),una organización que se dedica a la producción y distribución de contenido de,latam,0.0,0,0.0
Elemento operado de Colectivos de Buenos Aires es,línea 740,"un elemento de colectivo de Buenos Aires, es decir, un co",latam,0.0,0,0.0
Categoría en Commons de Trenes de Buenos Aires es,Trenes de Buenos Aires,"un grupo de imágenes de trenes de la ciudad de Buenos Aires, Argentina",latam,0.47058823529411764,0,0.0
Forma jurídica de Trenes de Buenos Aires es,sociedad anónima,":
La forma jurídica de Trenes de Buenos Aires (T",latam,0.0,0,0.0
Industria de Trenes de Buenos Aires es,transporte público,una empresa que se dedica a la construcción de locomotoras y vag,latam,0.0,0,0.0
Sucedido por de Trenes de Buenos Aires es,Unidad de Gestión Operativa Mitre Sarmiento,"el que ha sucedido en los ultimos dias, en el cual",latam,0.0,0,0.0
Categoría en Commons de Museo de Arte Moderno de Buenos Aires es,Museo de Arte Moderno de Buenos Aires,"una categoría que tiene 198 imágenes, de las cuales 1",latam,0.11764705882352941,0,0.0
Situado en la entidad territorial administrativa de Museo de Arte Moderno de Buenos Aires es,Buenos Aires,"un museo que se ubica en la capital de la Argentina, en",latam,0.0,0,0.0
Días abiertos de Museo de Arte Moderno de Buenos Aires es,sábado y domingo,"una iniciativa que se lleva a cabo cada año en mayo, con",latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Hospital Italiano de Buenos Aires es,Buenos Aires,"el Hospital Italiano de Buenos Aires, es un hospital privado, de",latam,0.3076923076923077,1,0.0
Identificador de tema en Quora de Hospital Italiano de Buenos Aires es,Hospital-Italiano-De-Buenos-Aires,una institución de salud con más de 100 años de historia,latam,0.0,0,0.0
Situado en la dirección postal de Hospital Italiano de Buenos Aires es,Tte. Gral. Juan Domingo Perón 4190,"un edificio de dos plantas, con un sótano y un",latam,0.0,0,0.0
Categoría en Commons de Hospital Italiano de Buenos Aires es,Hospital Italiano de Buenos Aires,"una categoría de Wikimedia Commons, el repositorio de medios de Wikimedia, que",latam,0.11764705882352941,0,0.0
Liga de Club Deportivo Español de Buenos Aires es,Primera C Argentina,un equipo de fútbol argentino de la ciudad de Buenos Aires,latam,0.0,0,0.0
Estadio de Club Deportivo Español de Buenos Aires es,Estadio Nueva España,el estadio de fútbol que se encuentra en el partido de,latam,0.14285714285714288,0,0.0
Categoría principal del tema de Club Deportivo Español de Buenos Aires es,Category:Deportivo Español,"Deportes, con un total de 31 artículos.
C",latam,0.0,0,0.0
Categoría en Commons de Club Deportivo Español de Buenos Aires es,Deportivo Español,un club de fútbol argentino que fue fundado en,latam,0.0,0,0.0
Ubicación de la sede de Club Deportivo Español de Buenos Aires es,Buenos Aires,"en la calle Florida, en el barrio de San Telmo, Buenos",latam,0.15384615384615385,0,0.0
Nombre oficial de Club Deportivo Español de Buenos Aires es,Club Social Deportivo y Cultural Español de la República Argentina,":
El nombre oficial del Club Deportivo Español de Buenos Aires es **",latam,0.380952380952381,0,0.0
Identificador en Facebook de Club Deportivo Español de Buenos Aires es,Club-Deportivo-Español-Oficial-165965500136401,": 

El identificador en Facebook del Club Deportivo Español de Buenos",latam,0.0,0,0.0
Nombre de usuario de Twitter (X) de Club Deportivo Español de Buenos Aires es,CDEspanol,: el club deportivo español de buenos aires es un club de,latam,0.0,0,0.0
Nombre de usuario de Instagram de Club Deportivo Español de Buenos Aires es,clubdeportivoespanol,? El nombre de usuario de Instagram del Club Deportivo Español de Buenos,latam,0.0,0,0.0
Logotipo de Club Deportivo Español de Buenos Aires es,Logotipo Oficial y Escudo del Club Deportivo Espanol.svg,un equipo de fútbol argentino de la ciudad de Buenos Aires,latam,0.0,0,0.0
Categoría para miembros de un equipo de Club Deportivo Español de Buenos Aires es,Categoría:Futbolistas del Club Deportivo Español de Buenos Aires,una categoría de fútbol argentina que corresponde al tercer nivel,latam,0.11111111111111112,0,0.0
Catedral de Arquidiócesis de Buenos Aires es,Catedral de Buenos Aires,"un edificio religioso, que se encuentra en el centro de la ciudad",latam,0.125,0,0.0
Categoría principal del tema de Arquidiócesis de Buenos Aires es,Categoría:Arquidiócesis de Buenos Aires,Religión y espiritualidad. Se han encontrado 27,latam,0.0,0,0.0
Imagen de Arquidiócesis de Buenos Aires es,Buenos Aires-Catedral Metropolitana (exterior).jpg,un blog que nace con el objetivo de mostrar las actividades de la Ar,latam,0.0,0,0.0
Mapa de localización de Arquidiócesis de Buenos Aires es,Arquidiócesis de Buenos Aires.svg,un mapa que muestra la ubicación de la Arquidiócesis,latam,0.30769230769230765,0,0.0
Comparte fronteras con de Arquidiócesis de Buenos Aires es,diócesis de San Justo,la arquidiócesis que está ubicada en la provincia de,latam,0.15384615384615383,0,0.0
Comparte fronteras con de Arquidiócesis de Buenos Aires es,diócesis de San Martín,"la que pertenece al estado de San Luis Potosí, México",latam,0.28571428571428575,0,0.0
Comparte fronteras con de Arquidiócesis de Buenos Aires es,diócesis de San Isidro,"con la Arquidiócesis de Rosario, la Arqu",latam,0.18181818181818182,0,0.0
