prompt,ground_truth,prediction,region,f1_score,substring_accuracy,judge_score
Categoría en Commons de Provincia de Córdoba es,"Córdoba Province, Argentina",una categoría de la Wikipedia en la que se pueden subir imágenes que represent,latam,0.0,0,0.0
Imagen del escudo de armas del elemento de Provincia de Córdoba es,Escudo de la Provincia de Córdoba.svg,"una imagen de un escudo de armas, con el elemento de Pro",latam,0.3333333333333333,0,0.0
Se encuentra en el huso horario de Provincia de Córdoba es,America/Argentina/Córdoba,"decir, Argentina, con una diferencia horaria de -3 horas respecto a",latam,0.0,0,0.0
Imagen de la bandera de Provincia de Córdoba es,Bandera de la Provincia de Córdoba 2014.svg,"el estado de la República Argentina, con el escudo de la provincia y",latam,0.4,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Calamuchita,"el municipio de San Telmo, en el cual se encuentra la población",latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Colón,"el municipio de San José de la Montaña, que se encuentra en",latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Cruz del Eje,"el municipio de San Antonio de Areco, en el partido de Are",latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento General Roca,"un municipio de la Argentina, en la región del centro del país.",latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento General San Martín,una región de la República Argentina. La Provincia de Córdoba se,latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Ischilín,"un municipio de la provincia de Córdoba, España. Su población",latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Presidente Roque Sáenz Peña,"una división administrativa de segunda nivel de la República Argentina, que comprend",latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Punilla,"una división administrativa de segundo nivel de la República Argentina, y corres",latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Río Cuarto,"la comarca de La Vera, que se extiende desde el",latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Río Primero,"una comarca de la región de Andalucía, en España",latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Río Seco,"una localidad en el departamento de Córdoba, Argentina, en la",latam,0.15384615384615383,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento San Alberto,"el municipio de San Cayetano, en el departamento de Río",latam,0.30769230769230765,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento San Javier,"un municipio que está situado al norte de la provincia, a",latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento San Justo,"un municipio que se encuentra en la región de San Luis, en Argentina",latam,0.125,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Santa María,"una localidad de la Argentina, ubicada en el departamento de Dolores",latam,0.14285714285714288,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Sobremonte,"un municipio argentino de la provincia de Córdoba, en la",latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Totoral,"el municipio de San Agustín de la Venta, con su",latam,0.0,0,0.0
Subdividido en (división administrativa) de Provincia de Córdoba es,Departamento Unión,una comarca que abarca el municipio de Villanueva,latam,0.0,0,0.0
Categoría principal del tema de Provincia de Córdoba es,Categoría:Provincia de Córdoba (Argentina),**Categoría principal del tema de Provincia de Córdoba,latam,0.3333333333333333,0,0.0
Comparte fronteras con de Provincia de Córdoba es,Provincia de Buenos Aires,: Comparte fronteras con la Provincia de Córdoba,latam,0.36363636363636365,0,0.0
Comparte fronteras con de Provincia de Córdoba es,Provincia de Catamarca,"la Provincia de San Luis y la Provincia de San Juan, ¿",latam,0.28571428571428575,0,0.0
Comparte fronteras con de Provincia de Córdoba es,Provincia de La Pampa,"la Provincia de San Luis y la Provincia de La Pampa,",latam,0.5333333333333333,1,0.0
Comparte fronteras con de Provincia de Córdoba es,Provincia de La Rioja,"la Provincia de San Luis, San Luis es una provincia de Argentina,",latam,0.375,0,0.0
Comparte fronteras con de Provincia de Córdoba es,Provincia de San Luis,: A) San Luis B) La Pampa C) La Rioja,latam,0.30769230769230765,0,0.0
Comparte fronteras con de Provincia de Córdoba es,Provincia de Santa Fe,"la Provincia de
**San Luis**. La Provincia de San",latam,0.30769230769230765,0,0.0
Comparte fronteras con de Provincia de Córdoba es,Provincia de Santiago del Estero,"la Provincia de San Luis, la Provincia de San Juan, y",latam,0.25000000000000006,0,0.0
Categoría para las personas que nacieron aquí de Provincia de Córdoba es,Categoría:Nacidos en la provincia de Córdoba (Argentina),una categoría de Wikipedia que se usa para categorizar a personas que nac,latam,0.1,0,0.0
Categoría para las personas que fallecieron aquí de Provincia de Córdoba es,Categoría:Fallecidos en la provincia de Córdoba (Argentina),la que se aplica a las personas que fallecieron en la,latam,0.2222222222222222,0,0.0
Categoría de personas relacionadas de Provincia de Córdoba es,Categoría:Cordobeses argentinos,una categoría de personas que se creó en Wikipedia en el año 2,latam,0.0,0,0.0
Banner de Wikiviajes de Provincia de Córdoba es,WV banner Cordoba province Altas Cumbres.jpg,"una provincia del centro-oeste de Argentina, con un área de 3",latam,0.0,0,0.0
Gentilicio de Provincia de Córdoba es,cordobesa,"Córdobés, Córdobesa, Córdobense.",latam,0.0,0,0.0
Cargo ocupado por el jefe de gobierno de Provincia de Córdoba es,Gobernador de la Provincia de Córdoba,el que se encuentra en el ministerio de la Cultura y Turismo,latam,0.2222222222222222,0,0.0
Órgano legislativo de Provincia de Córdoba es,Legislatura de la Provincia de Córdoba,":  
A) El Concejo Municipal  
B) El Consejo Provincial",latam,0.0,0,0.0
Identificador Enciclopedia Británica Online de Provincia de Córdoba es,place/Cordoba-province-Argentina,un proyecto de investigación que se está desarrollando en la Universidad de Córd,latam,0.0,0,0.0
Mapa de situación de Provincia de Córdoba es,Argentina Córdoba location map.svg,el mapa que muestra la ubicación de la Provincia de Córdoba,latam,0.13333333333333333,0,0.0
Fotomontaje de Provincia de Córdoba es,Cordoba Province Montage 2.png,"un proyecto que nace como una propuesta de investigación, que se desarroll",latam,0.0,0,0.0
Forma geográfica de Provincia de Córdoba es,Data:Argentina/Córdoba.map,"un tipo de entidad territorial que se define por su forma, tamaño y ubic",latam,0.0,0,0.0
Economía del sujeto de Provincia de Córdoba es,economía de Córdoba (Argentina),"el proceso mediante el cual se producen, distribuyen, intercamb",latam,0.0,0,0.0
Geografía de Provincia de Córdoba es,geografía de la provincia de Córdoba,"una provincia de Argentina, en la región de La Pampa, con un",latam,0.4444444444444444,0,0.0
Diferente de de Provincia de Córdoba es,Córdoba,"el de la Provincia de Santa Fe, que tiene una población de",latam,0.0,0,0.0
