prompt,ground_truth,prediction,region,f1_score,substring_accuracy,judge_score
Propiedad de de Museo de La Plata es,Universidad Nacional de La Plata,"el Museo de Ciencias Naturales, que se encuentra en la ciudad",latam,0.25000000000000006,0,0.0
Título de Revista del Museo de La Plata es,Revista del Museo de La Plata,un libro que reúne las publicaciones científicas del Museo de,latam,0.37499999999999994,0,0.0
Idioma de la obra o del nombre de Revista del Museo de La Plata es,español,"el castellano, pero el texto se encuentra en inglés. How to",latam,0.0,0,0.0
Diferente de de Revista del Museo de La Plata es,Revista del Museo de La Plata,"la revista ""Científica"" (1938-",latam,0.4,0,0.0
Diferente de de Revista del Museo de La Plata es,Revista del Museo de La Plata. Nueva Serie,"la revista
**Museo**, publicada por el Museo",latam,0.39999999999999997,0,0.0
Imagen de Revista del Museo de La Plata es,"Portada Revista del Museo de La Plata, Serie antigua Tomo 1 1890.jpg",un proyecto de desarrollo de software para la gestión de imágenes de revistas de,latam,0.15384615384615383,0,0.0
Categoría en Commons de Revista del Museo de La Plata es,Revista del Museo de La Plata,"una categoría de archivos de la Wikipedia en español, que incluye imágenes",latam,0.2222222222222222,0,0.0
Idioma de la obra o del nombre de Revista de la Facultad de Agronomía; Universidad Nacional de La Plata es,español,":  Spanish
Spanish

Idioma de la obra o del nombre",latam,0.0,0,0.0
Título de Revista de la Facultad de Agronomía; Universidad Nacional de La Plata es,Revista de la Facultad de Agronomía,un título académico otorgado por la Facultad de Agr,latam,0.4,0,0.0
Diferente de de Revista de la Facultad de Agronomía; Universidad Nacional de La Plata es,"Revista de la Facultad de Agronomía, Universidad Central de Venezuela",la Revista de la Facultad de Agronomía; Universidad Nacional de,latam,0.8000000000000002,0,0.0
Diferente de de Revista de la Facultad de Agronomía; Universidad Nacional de La Plata es,Revista de la Facultad de Agronomía,"una publicación de acceso abierto, con revisión por pares,",latam,0.13333333333333333,0,0.0
Tema principal de la obra de Revista de la Facultad de Agronomía; Universidad Nacional de La Plata es,ciencias agrarias,"la agricultura, la ganadería, la silvicultura,",latam,0.0,0,0.0
Tema principal de la obra de Revista de la Facultad de Agronomía; Universidad Nacional de La Plata es,ciencias forestales,": Ciencias agrarias, incluyendo la agronomía, la agricult",latam,0.22222222222222224,0,0.0
