prompt,ground_truth,prediction,region,f1_score,substring_accuracy,judge_score
Categoría principal del tema de Arquitectura de Chile es,Categoría:Arquitectura de Chile,"el tipo de edificios, estructuras, o elementos constructivos,",latam,0.18181818181818182,0,0.0
Subclase de de Arquitectura de Chile es,arquitectura en la Tierra,"un proyecto que se desarrolla desde el año 2014,",latam,0.0,0,0.0
Mapa de localización de Cuencas altiplánicas de Chile es,Cuenca-010-B.svg,una herramienta que muestra la ubicación de las cuencas altipl,latam,0.0,0,0.0
Liga superior de Primera B de Fútbol Femenino de Chile es,Primera División de fútbol femenino de Chile,un torneo de fútbol femenino que se juega,latam,0.39999999999999997,0,0.0
"Situado en la entidad territorial administrativa de Escultura a Víctor Jara, Universidad de Santiago de Chile es",Comuna de Santiago,una institución educativa superior que se dedica a la formación de,latam,0.14285714285714288,0,0.0
"Situado en la entidad territorial administrativa de Escultura a Víctor Jara, Universidad de Santiago de Chile es",Región Metropolitana de Santiago,el lugar de nacimiento del artista chileno. The sentence is,latam,0.14285714285714288,0,0.0
"Imagen de Escultura a Víctor Jara, Universidad de Santiago de Chile es",Memorial DDHH Chile 50 Escultura Usach Víctor Jara.jpg,el nombre de una escultura que se encuentra en el campus de la,latam,0.09523809523809525,0,0.0
"Nombrado en referencia a de Escultura a Víctor Jara, Universidad de Santiago de Chile es",Víctor Jara,una institución de educación superior ubicada en la capital de la Región,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Placa en Homenaje a Víctor Jara en Departamento de Ingeniería geográfica de la Universidad de Santiago de Chile es,Estación Central,un espacio de formación docente y de investigación en el ámbito de la,latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Placa en Homenaje a Víctor Jara en Departamento de Ingeniería geográfica de la Universidad de Santiago de Chile es,Región Metropolitana de Santiago,"un proyecto de investigación titulado: ""Mapeo de la vulnerabilidad",latam,0.15384615384615383,0,0.0
Nombrado en referencia a de Placa en Homenaje a Víctor Jara en Departamento de Ingeniería geográfica de la Universidad de Santiago de Chile es,Víctor Jara,un reconocimiento que se entrega a los estudiantes que se destacan en el,latam,0.0,0,0.0
Categoría en Commons de Corporación Nacional de Vexilología de Chile es,Corporación Nacional de Vexilología de Chile,una categoría en la que se encuentran imágenes relacionadas con la Corporación,latam,0.1111111111111111,0,0.0
Campo de trabajo de Corporación Nacional de Vexilología de Chile es,vexilología,"el diseño, fabricación y producción de banderas nacionales y de instit",latam,0.0,0,0.0
Imagen de la bandera de Corporación Nacional de Vexilología de Chile es,Bandera de la Corporación Nacional de Vexilología de Chile.svg,el que se encuentra en el portal del Ministerio de Defensa de Chile,latam,0.18181818181818185,0,0.0
Miembro de de Corporación Nacional de Vexilología de Chile es,Federación Internacional de Asociaciones Vexilológicas,un título que se otorga a quienes se dediquen a estud,latam,0.0,0,0.0
