prompt,ground_truth,prediction,region,f1_score,substring_accuracy,judge_score
Aplica a la jurisdicción de arzobispo de Santiago de Chile es,Arquidiócesis de Santiago de Chile,la que se menciona en la constitución de la República de 1,latam,0.23529411764705882,0,0.0
Autor de Poema de Chile es,Gabriela Mistral,el poeta chileno Pablo Neruda. Pablo Neruda fue un,latam,0.0,0,0.0
Idioma de la obra o del nombre de Poema de Chile es,español,"un poema de la poeta chilena Violeta Parra,",latam,0.0,0,0.0
Categoría principal del tema de División Mayor del Básquetbol de Chile es,Categoría:División Mayor del Básquetbol de Chile,"la liga profesional de baloncesto de Chile, es decir, el",latam,0.25,0,0.0
Deporte de División Mayor del Básquetbol de Chile es,baloncesto,"el Básquetbol de la División Mayor, que es un tor",latam,0.0,0,0.0
Presidente de Bomberos de Chile es,Miguel Reyes Núñez,"el encargado de coordinar las acciones del organismo, y es",latam,0.0,0,0.0
Ubicación de la sede de Bomberos de Chile es,Providencia,"una pregunta que muchos usuarios de internet se hacen, especialmente si necesitan contact",latam,0.0,0,0.0
Situado en la entidad territorial administrativa de Universidad Bolivariana de Chile es,Santiago de Chile,el campus universitario más antiguo y el primero que fue construido,latam,0.0,0,0.0
Categoría para las personas que estudiaron en esta institución de Universidad Bolivariana de Chile es,Categoría:Alumnado de la Universidad Bolivariana de Chile,una categoría de la encuesta de la Universidad Bolivariana de Chile,latam,0.6666666666666665,0,0.0
Imagen de Universidad Bolivariana de Chile es,"Casa Central UB, Santiago 20231221.jpg","un software de cómputo, que permite el diseño de circuitos",latam,0.0,0,0.0
Nombre de usuario de Twitter (X) de Universidad Bolivariana de Chile es,ubolivarianacl,@unibolivariana y el link es https://x.com,latam,0.0,0,0.0
Categoría en Commons de Universidad Bolivariana de Chile es,Universidad Bolivariana de Chile,una categoría que tiene 47 archivos. El 12 de fe,latam,0.14285714285714288,0,0.0
Categoría principal del tema de Cerveza de Chile es,Categoría:Cervezas de Chile,": 

A) Sociedad  
B) Cultura  
C) De",latam,0.2222222222222222,0,0.0
Subclase de de Campeonato de ajedrez de Chile es,campeonato nacional,un evento que se disputa anualmente en Chile. Se disputa,latam,0.0,0,0.0
Liga inferior de Cuarta División de Chile es,Asociaciones locales de fútbol de Chileno,la cuarta categoría del fútbol chileno. Está comp,latam,0.28571428571428575,0,0.0
Liga superior de Cuarta División de Chile es,Tercera División A de Chile,la cuarta categoría del fútbol chileno. La l,latam,0.0,0,0.0
Deporte de Federación Ciclista de Chile es,ciclismo de competición,"el ciclismo, que es una actividad física que consiste en la",latam,0.14285714285714288,0,0.0
Miembro de de Federación Ciclista de Chile es,Unión Ciclista Internacional,un título que se le otorga a los ciclistas que pert,latam,0.0,0,0.0
Miembro de de Federación Ciclista de Chile es,Confederación Panamericana de Ciclismo,un certificado que permite al ciclista participar en eventos de cicl,latam,0.13333333333333333,0,0.0
Categoría principal del tema de Fútbol Joven de Chile es,Categoría:Fútbol Joven de Chile,":
A. Deportes
B. Sociedad
C. Cult",latam,0.0,0,0.0
Título de Revista del Instituto de Salud Pública de Chile es,Revista del Instituto de Salud Pública de Chile,":
A. Revista Chilena de Infectología
B. Rev",latam,0.26666666666666666,0,0.0
Idioma de la obra o del nombre de Revista del Instituto de Salud Pública de Chile es,español,": Spanish (Spanish)
The Spanish language is the official language of Chile.",latam,0.0,0,0.0
Nombre oficial de Servicio de Registro Civil e Identificación de Chile es,Servicio de Registro Civil e Identificación,"el Servicio de Registro Civil e Identificación (SERECI), depend",latam,0.8,1,0.0
Organización matriz de Servicio de Registro Civil e Identificación de Chile es,Ministerio de Justicia y Derechos Humanos de Chile,"una institución del Estado chileno, dependiente del Ministerio de",latam,0.23529411764705882,0,0.0
Ubicación de la sede de Servicio de Registro Civil e Identificación de Chile es,Comuna de Santiago,":
La sede central del Servicio de Registro Civil e Identificación (S",latam,0.14285714285714288,0,0.0
Imagen de Servicio de Registro Civil e Identificación de Chile es,"Dirección Nacional del Servicio de Registro Civil e Identificación, Santiago 20231019.jpg",el nombre que recibe el sistema nacional de registro civil que permite a los,latam,0.32,0,0.0
Categoría en Commons de Servicio de Registro Civil e Identificación de Chile es,Servicio de Registro Civil e Identificación de Chile,la categoría de la fotografía de los documentos oficiales del Registro Civil,latam,0.4,0,0.0
Categoría principal del tema de Tercera División A de Chile es,Categoría:Tercera División A de Chile,Deportes. ¿Es cierto o falso? La categoría,latam,0.0,0,0.0
Liga inferior de Tercera División A de Chile es,Cuarta División de Chile,el nombre del fútbol de la 4ta división de,latam,0.30769230769230765,0,0.0
Liga superior de Tercera División A de Chile es,Segunda División Profesional de Chile,la categoría que se ubica en el nivel 2 del sistema de categor,latam,0.1111111111111111,0,0.0
Categoría en Commons de Zoológico Nacional de Chile es,Zoológico Nacional de Chile,una categoría que contiene imágenes del Zoológico Nacional de Chile. P,latam,0.5333333333333333,1,0.0
Imagen de Zoológico Nacional de Chile es,Zoológico Nacional Chile.jpg,el sitio web oficial del Zoológico Nacional de Chile. El sitio,latam,0.28571428571428575,0,0.0
Situado en la entidad territorial administrativa de Zoológico Nacional de Chile es,Providencia,una organización que se encarga de la conservación y cuidado de espec,latam,0.0,0,0.0
Ubicación de la sede de Contraloría General de la República de Chile es,Comuna de Santiago,La sede de la Contraloría General de la República de Chile,latam,0.14285714285714288,0,0.0
Imagen de Contraloría General de la República de Chile es,"Edificio de la Contraloría, Santiago 20230811.jpg",una empresa de servicios de asesoría y consultoría en gestión pública,latam,0.11764705882352942,0,0.0
Cargo ocupado por el dirigente de Contraloría General de la República de Chile es,contralor(a) general de la República de Chile,"el de subsecretario de la Presidencia de la República, que",latam,0.47058823529411764,0,0.0
Categoría principal del tema de Correos de Chile es,Categoría:Correo de Chile,"el correo, pero también incluye otros temas afines como el envío",latam,0.0,0,0.0
Imagen de Correos de Chile es,2017 Santiago de Chile - Edificio del Correo Central.jpg,"la marca de correo de Chile, y la única compañía de correo en el",latam,0.2727272727272727,0,0.0
